Date.Rptd,DATE.OCC,TIME.OCC,AREA,AREA.NAME,Part.1.2,Crm.Cd,Crm.Cd.Desc,Mocodes,Vict.Age,Vict.Sex,Vict.Descent,Premis.Cd,Premis.Desc,Weapon.Used.Cd,Weapon.Desc,Status,Status.Desc,Crm.Cd.1,LOCATION,LAT,LON,Year,Month,Date
09/04/2021 12:00:00 AM,09/04/2021 12:00:00 AM,37,9,Van Nuys,2,354,THEFT OF IDENTITY,1822,29,M,W,101,STREET,NA,,AA,Adult Arrest,354,ORION,34.1939,-118.4706,09,2021,2021-09-04
09/26/2023 12:00:00 AM,09/26/2023 12:00:00 AM,1740,20,Olympic,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 1243 1218 2004 0400 0416 0417 0446 2060,42,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,3100 W  8TH                          ST,34.0577,-118.2943,09,2023,2023-09-26
06/23/2022 12:00:00 AM,06/03/2022 12:00:00 AM,200,6,Hollywood,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 1300 0329 0385,29,M,W,101,STREET,NA,,IC,Invest Cont,331,4900 W  LEMON GROVE                  AV,34.0863,-118.3033,06,2022,2022-06-03
08/28/2023 12:00:00 AM,08/28/2023 12:00:00 AM,2130,1,Central,2,625,OTHER ASSAULT,2004 0400 0356 0913,46,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,625,400 S  SAN PEDRO                    ST,34.0459,-118.243,08,2023,2023-08-28
08/28/2022 12:00:00 AM,08/27/2022 12:00:00 AM,1900,6,Hollywood,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 1300 1307 0329 1205,28,M,W,101,STREET,NA,,IC,Invest Cont,740,6300 W  SUNSET                       BL,34.098,-118.3266,08,2022,2022-08-27
03/26/2022 12:00:00 AM,03/26/2022 12:00:00 AM,930,2,Rampart,1,220,ATTEMPTED ROBBERY,1266 1822 0104 0325 0416 0446 0400 0334 0447 0945,37,M,W,402,MARKET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,1700 W  6TH                          ST,34.0573,-118.2699,03,2022,2022-03-26
09/15/2022 12:00:00 AM,09/11/2022 12:00:00 AM,100,20,Olympic,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 1300 1822,26,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,OLYMPIC                      BL,34.0526,-118.3042,09,2022,2022-09-11
02/13/2020 12:00:00 AM,02/07/2020 12:00:00 AM,1400,20,Olympic,2,662,"BUNCO, GRAND THEFT",1822 0701,66,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,,IC,Invest Cont,662,1600 S  NEW HAMPSHIRE                AV,34.0443,-118.2924,02,2020,2020-02-07
04/09/2021 12:00:00 AM,04/09/2021 12:00:00 AM,1130,14,Pacific,2,624,BATTERY - SIMPLE ASSAULT,0400 1822,56,F,B,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,5400 W  CENTINELA                    AV,0,0,04,2021,2021-04-09
09/24/2020 12:00:00 AM,03/22/2020 12:00:00 AM,1624,8,West LA,2,354,THEFT OF IDENTITY,0100 0928,30,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,,IC,Invest Cont,354,1400 S  WESTGATE                     AV,34.0431,-118.4599,03,2020,2020-03-22
09/18/2022 12:00:00 AM,09/18/2022 12:00:00 AM,300,13,Newton,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0417 0429 1218 1822,46,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,100 W  66TH                         ST,33.9796,-118.2739,09,2022,2022-09-18
08/21/2022 12:00:00 AM,08/20/2022 12:00:00 AM,1030,3,Southwest,1,480,BIKE - STOLEN,1822 1251 2004 0344 1606,21,F,W,501,SINGLE FAMILY DWELLING,NA,,AO,Adult Other,480,600 W  28TH                         ST,34.0261,-118.2774,08,2022,2022-08-20
01/30/2022 12:00:00 AM,01/30/2022 12:00:00 AM,530,1,Central,1,761,BRANDISH WEAPON,0334 1822 1218 2004,28,M,W,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,761,7TH                          ST,34.0445,-118.2523,01,2022,2022-01-30
01/16/2022 12:00:00 AM,01/16/2022 12:00:00 AM,1825,3,Southwest,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0419 0445 0302 0334 0411 0913 1238 1309 0421 0422,40,F,B,501,SINGLE FAMILY DWELLING,102,HAND GUN,AO,Adult Other,230,2900 W  43RD                         PL,34.0044,-118.3248,01,2022,2022-01-16
10/19/2020 12:00:00 AM,10/16/2020 12:00:00 AM,1200,8,West LA,2,624,BATTERY - SIMPLE ASSAULT,0416 1802,56,F,B,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,11400    SANTA MONICA                 BL,34.0457,-118.4511,10,2020,2020-10-16
11/02/2021 12:00:00 AM,10/30/2021 12:00:00 AM,300,1,Central,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307,31,M,B,122,"VEHICLE, PASSENGER/TRUCK",NA,,IC,Invest Cont,740,7TH,34.0377,-118.2425,10,2021,2021-10-30
08/12/2021 12:00:00 AM,08/12/2021 12:00:00 AM,1500,8,West LA,2,624,BATTERY - SIMPLE ASSAULT,1218 1822 0400,57,F,W,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,1000    WESTWOOD                     BL,34.0608,-118.4454,08,2021,2021-08-12
02/24/2023 12:00:00 AM,02/23/2023 12:00:00 AM,950,8,West LA,2,662,"BUNCO, GRAND THEFT",0701 0800 0344 1822 1202,61,M,W,203,OTHER BUSINESS,NA,,IC,Invest Cont,662,10200    BRIARWOOD                    DR,34.1161,-118.4435,02,2023,2023-02-23
01/08/2022 12:00:00 AM,01/08/2022 12:00:00 AM,710,19,Mission,2,624,BATTERY - SIMPLE ASSAULT,1300 0416,27,F,B,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,15500    DEVONSHIRE                   ST,34.261,-118.4698,01,2022,2022-01-08
07/13/2023 12:00:00 AM,07/13/2023 12:00:00 AM,1730,15,N Hollywood,2,647,THROWING OBJECT AT MOVING VEHICLE,1300 0447 1822 0416,43,F,W,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,647,5200    LANKERSHIM                   BL,34.1649,-118.3746,07,2023,2023-07-13
04/17/2020 12:00:00 AM,04/17/2020 12:00:00 AM,1600,14,Pacific,2,901,VIOLATION OF RESTRAINING ORDER,1501,52,M,W,102,SIDEWALK,NA,,IC,Invest Cont,901,3700    WASATCH                      AV,34.0055,-118.4375,04,2020,2020-04-17
07/31/2023 12:00:00 AM,07/25/2023 12:00:00 AM,2230,14,Pacific,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,43,F,H,104,DRIVEWAY,NA,,IC,Invest Cont,420,1300    APPLETON                     WY,34.0038,-118.4553,07,2023,2023-07-25
08/19/2021 12:00:00 AM,08/19/2021 12:00:00 AM,1440,4,Hollenbeck,2,624,BATTERY - SIMPLE ASSAULT,1822 0400 0416,57,M,B,116,OTHER/OUTSIDE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,MONTEREY                     RD,34.0881,-118.1877,08,2021,2021-08-19
09/22/2022 12:00:00 AM,09/14/2022 12:00:00 AM,2115,8,West LA,1,320,"BURGLARY, ATTEMPTED",1822 1609 0358,47,F,W,501,SINGLE FAMILY DWELLING,211,AXE,IC,Invest Cont,320,10300    NORTHVALE                    RD,34.0331,-118.411,09,2022,2022-09-14
10/09/2022 12:00:00 AM,10/05/2022 12:00:00 AM,915,17,Devonshire,1,310,BURGLARY,0321 1601,57,M,A,501,SINGLE FAMILY DWELLING,NA,,IC,Invest Cont,310,17200    TENNYSON                     PL,34.3038,-118.5089,10,2022,2022-10-05
08/15/2023 12:00:00 AM,08/15/2023 12:00:00 AM,2200,14,Pacific,1,330,BURGLARY FROM VEHICLE,1609 0344 1300,37,M,W,108,PARKING LOT,NA,,IC,Invest Cont,330,900    BROADWAY,33.9977,-118.4627,08,2023,2023-08-15
09/11/2021 12:00:00 AM,09/10/2021 12:00:00 AM,900,13,Newton,2,354,THEFT OF IDENTITY,0100,23,F,H,750,CYBERSPACE,NA,,IC,Invest Cont,354,5200    ALBA                         ST,33.9951,-118.2398,09,2021,2021-09-10
06/29/2023 12:00:00 AM,06/29/2023 12:00:00 AM,1715,7,Wilshire,1,210,ROBBERY,0346 0334 0448,49,M,O,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,210,600 N  GARDNER                      ST,34.0818,-118.3532,06,2023,2023-06-29
05/16/2023 12:00:00 AM,05/16/2023 12:00:00 AM,1150,19,Mission,2,624,BATTERY - SIMPLE ASSAULT,1258 2024 1822 0416 0448 0342 1815,12,M,H,720,JUNIOR HIGH SCHOOL,301,BELT FLAILING INSTRUMENT/CHAIN,IC,Invest Cont,624,14600    TYLER                        ST,34.3123,-118.4509,05,2023,2023-05-16
09/12/2020 12:00:00 AM,09/11/2020 12:00:00 AM,1730,19,Mission,1,330,BURGLARY FROM VEHICLE,0344 1307,23,M,H,108,PARKING LOT,NA,,IC,Invest Cont,330,16600    NICKLAUS                     DR,34.3258,-118.4926,09,2020,2020-09-11
09/16/2022 12:00:00 AM,09/16/2022 12:00:00 AM,100,11,Northeast,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1822 2002,54,M,W,203,OTHER BUSINESS,207,OTHER KNIFE,IC,Invest Cont,230,4200    SANTA MONICA                 BL,34.0947,-118.2877,09,2022,2022-09-16
05/25/2022 12:00:00 AM,05/25/2022 12:00:00 AM,700,9,Van Nuys,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,38,M,H,122,"VEHICLE, PASSENGER/TRUCK",NA,,IC,Invest Cont,740,4200    ETHEL                        AV,34.1459,-118.4183,05,2022,2022-05-25
09/08/2023 12:00:00 AM,09/08/2023 12:00:00 AM,2010,10,West Valley,1,310,BURGLARY,0344 1822 0329 0358 0321,43,M,W,501,SINGLE FAMILY DWELLING,NA,,IC,Invest Cont,310,18300    KAREN                        DR,34.1528,-118.531,09,2023,2023-09-08
09/05/2021 12:00:00 AM,09/04/2021 12:00:00 AM,2000,13,Newton,1,210,ROBBERY,0416 1310 0344 0916,38,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,KING                         BL,34.0114,-118.2624,09,2021,2021-09-04
07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,2030,1,Central,1,480,BIKE - STOLEN,0344 1822 0397 1602 1414 1420,39,F,W,102,SIDEWALK,NA,,IC,Invest Cont,480,700 S  FIGUEROA                     ST,34.0483,-118.2631,07,2020,2020-07-09
01/18/2022 12:00:00 AM,01/17/2022 12:00:00 AM,1545,12,77th Street,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1309 1822 0421 0432,54,M,B,104,DRIVEWAY,511,VERBAL THREAT,IC,Invest Cont,930,6000    BRYNHURST                    AV,33.9854,-118.3338,01,2022,2022-01-17
05/24/2022 12:00:00 AM,05/07/2022 12:00:00 AM,734,21,Topanga,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,28,M,W,501,SINGLE FAMILY DWELLING,NA,,IC,Invest Cont,440,20800    MARTHA                       ST,34.1727,-118.5859,05,2022,2022-05-07
09/27/2022 12:00:00 AM,09/16/2022 12:00:00 AM,1540,7,Wilshire,2,354,THEFT OF IDENTITY,0929 0928 0100,67,F,W,501,SINGLE FAMILY DWELLING,NA,,IC,Invest Cont,354,200 S  POINSETTIA                   PL,34.073,-118.3509,09,2022,2022-09-16
06/08/2023 12:00:00 AM,05/30/2023 12:00:00 AM,1730,17,Devonshire,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,20,F,H,122,"VEHICLE, PASSENGER/TRUCK",NA,,IC,Invest Cont,740,SHIRLEY,34.2355,-118.558,05,2023,2023-05-30
11/27/2022 12:00:00 AM,08/17/2022 12:00:00 AM,800,10,West Valley,2,354,THEFT OF IDENTITY,1822 1501,60,M,W,501,SINGLE FAMILY DWELLING,NA,,IC,Invest Cont,354,16500    ADLON                        RD,34.1532,-118.4983,08,2022,2022-08-17
02/15/2023 12:00:00 AM,02/15/2023 12:00:00 AM,2300,10,West Valley,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1817 0443 0445 0913 0334 0302 1402,19,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",114,AIR PISTOL/REVOLVER/RIFLE/BB GUN,AO,Adult Other,230,18600    HATTERAS                     ST,34.1774,-118.5387,02,2023,2023-02-15
01/14/2021 12:00:00 AM,01/14/2021 12:00:00 AM,425,17,Devonshire,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0430 1822 1309 1218 1100 1402 1407,45,M,H,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,230,HASKELL                      AV,34.2655,-118.4761,01,2021,2021-01-14
05/02/2020 12:00:00 AM,04/19/2020 12:00:00 AM,1200,17,Devonshire,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1602 0329,56,M,F,501,SINGLE FAMILY DWELLING,NA,,IC,Invest Cont,745,10600    DANUBE                       AV,34.263,-118.4746,04,2020,2020-04-19
10/10/2022 12:00:00 AM,10/09/2022 12:00:00 AM,800,3,Southwest,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 2034 0352,34,M,W,124,BUS STOP,NA,,IC,Invest Cont,341,W  JEFFERSON,34.0251,-118.2871,10,2022,2022-10-09
10/09/2023 12:00:00 AM,10/08/2023 12:00:00 AM,1545,19,Mission,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0416,67,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,FENTON                       AV,34.3172,-118.4302,10,2023,2023-10-08
06/10/2022 12:00:00 AM,05/11/2022 12:00:00 AM,1700,8,West LA,1,820,ORAL COPULATION,0552 0500 1257 0913,5,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,16400    SLOAN                        DR,34.1294,-118.4903,05,2022,2022-05-11
09/13/2021 12:00:00 AM,09/13/2021 12:00:00 AM,2010,12,77th Street,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 1822,16,M,H,101,STREET,114,AIR PISTOL/REVOLVER/RIFLE/BB GUN,IC,Invest Cont,230,300 W  75TH                         ST,33.9718,-118.2783,09,2021,2021-09-13
07/15/2021 12:00:00 AM,07/15/2021 12:00:00 AM,1100,20,Olympic,1,350,"THEFT, PERSON",0345 0346 0305 1822,20,F,O,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,350,6TH                          ST,34.0636,-118.2916,07,2021,2021-07-15
05/15/2022 12:00:00 AM,05/13/2022 12:00:00 AM,830,11,Northeast,1,220,ATTEMPTED ROBBERY,1822 0334 0355,64,M,H,102,SIDEWALK,207,OTHER KNIFE,IC,Invest Cont,220,2100    HILL                         DR,34.1425,-118.2117,05,2022,2022-05-13
08/22/2020 12:00:00 AM,08/22/2020 12:00:00 AM,1825,6,Hollywood,1,761,BRANDISH WEAPON,1822 0334,36,M,O,101,STREET,102,HAND GUN,IC,Invest Cont,761,2000 N  SYCAMORE                     AV,34.1066,-118.3424,08,2020,2020-08-22
06/11/2021 12:00:00 AM,06/10/2021 12:00:00 AM,1548,1,Central,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 1822,99,F,H,710,OTHER PREMISE,511,VERBAL THREAT,AO,Adult Other,930,600 S  OLIVE                        ST,34.0476,-118.2546,06,2021,2021-06-10
01/21/2022 12:00:00 AM,01/21/2022 12:00:00 AM,930,18,Southeast,1,310,BURGLARY,0913 0344 1607,44,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,,IC,Invest Cont,310,1800 E  97TH                         ST,33.9482,-118.2408,01,2022,2022-01-21
10/11/2022 12:00:00 AM,10/08/2022 12:00:00 AM,53,17,Devonshire,2,354,THEFT OF IDENTITY,0922 1822,33,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,,IC,Invest Cont,354,8700    DE SOTO                      AV,34.2286,-118.5885,10,2022,2022-10-08
05/28/2021 12:00:00 AM,05/18/2021 12:00:00 AM,1200,10,West Valley,2,354,THEFT OF IDENTITY,1822 0930,68,F,W,501,SINGLE FAMILY DWELLING,NA,,IC,Invest Cont,354,7200    BECKFORD                     AV,34.2012,-118.5513,05,2021,2021-05-18
09/10/2022 12:00:00 AM,09/10/2022 12:00:00 AM,1340,1,Central,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,63,F,A,108,PARKING LOT,NA,,IC,Invest Cont,341,700    YALE                         ST,34.0612,-118.2417,09,2022,2022-09-10
10/22/2021 12:00:00 AM,10/22/2021 12:00:00 AM,1800,10,West Valley,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2038 0913 1601 0421 2000 1814 0329 0358 0422,22,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,AO,Adult Other,930,7000    WOODLEY                      AV,34.1975,-118.4837,10,2021,2021-10-22
02/17/2023 12:00:00 AM,02/17/2023 12:00:00 AM,1615,17,Devonshire,1,330,BURGLARY FROM VEHICLE,0344 1609,35,M,W,108,PARKING LOT,NA,,IC,Invest Cont,330,11800    BALBOA                       BL,34.2841,-118.5021,02,2023,2023-02-17
01/25/2022 12:00:00 AM,01/25/2022 12:00:00 AM,2000,17,Devonshire,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,46,M,A,116,OTHER/OUTSIDE,NA,,IC,Invest Cont,331,ETIWANDA                     AV,34.2787,-118.5342,01,2022,2022-01-25
03/08/2021 12:00:00 AM,02/14/2021 12:00:00 AM,2240,5,Harbor,2,860,BATTERY WITH SEXUAL CONTACT,0913 1817 1300 0448 0522 0505,25,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,D,33.7736,-118.2724,02,2021,2021-02-14
06/11/2020 12:00:00 AM,06/08/2020 12:00:00 AM,900,19,Mission,2,900,VIOLATION OF COURT ORDER,2038,25,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,,AO,Adult Other,900,10000 N  SEPULVEDA                    BL,34.2519,-118.4674,06,2020,2020-06-08
08/17/2022 12:00:00 AM,08/12/2022 12:00:00 AM,1140,9,Van Nuys,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344,60,M,H,101,STREET,NA,,IC,Invest Cont,331,15000    OXNARD                       ST,34.1794,-118.4596,08,2022,2022-08-12
11/25/2022 12:00:00 AM,11/25/2022 12:00:00 AM,835,5,Harbor,2,624,BATTERY - SIMPLE ASSAULT,0416 0429 1309 0913,25,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,500 W  13TH                         ST,33.7324,-118.2879,11,2022,2022-11-25
04/17/2021 12:00:00 AM,04/13/2021 12:00:00 AM,1800,8,West LA,1,330,BURGLARY FROM VEHICLE,0344 0358,55,M,W,104,DRIVEWAY,NA,,IC,Invest Cont,330,9400    CHEROKEE                     LN,34.1114,-118.4056,04,2021,2021-04-13
09/10/2021 12:00:00 AM,09/08/2021 12:00:00 AM,1630,11,Northeast,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,39,F,F,119,"PORCH, RESIDENTIAL",NA,,IC,Invest Cont,745,2300    FARGO                        ST,34.0929,-118.2609,09,2021,2021-09-08
02/02/2022 12:00:00 AM,02/02/2022 12:00:00 AM,1150,12,77th Street,2,354,THEFT OF IDENTITY,0100 1822,22,F,H,501,SINGLE FAMILY DWELLING,NA,,IC,Invest Cont,354,900 W  65TH                         ST,33.9801,-118.2893,02,2022,2022-02-02
10/22/2020 12:00:00 AM,10/22/2020 12:00:00 AM,2200,4,Hollenbeck,2,624,BATTERY - SIMPLE ASSAULT,1218 0400 0417 1822,21,M,W,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,SOTO                         ST,34.0592,-118.2,10,2020,2020-10-22
05/01/2023 12:00:00 AM,05/01/2023 12:00:00 AM,1230,2,Rampart,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1813 1243 0416,20,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,1600    WILSHIRE                     BL,34.0554,-118.2702,05,2023,2023-05-01
03/05/2023 12:00:00 AM,03/04/2023 12:00:00 AM,1800,20,Olympic,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1202 0385 1602,70,M,A,108,PARKING LOT,NA,,IC,Invest Cont,331,2000 S  HOBART                       BL,34.0392,-118.3062,03,2023,2023-03-04
09/24/2020 12:00:00 AM,09/24/2020 12:00:00 AM,1730,12,77th Street,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0913 1309 2002 0448 0432,44,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,1100 W  62ND                         ST,33.9863,-118.2881,09,2020,2020-09-24
09/20/2022 12:00:00 AM,09/19/2022 12:00:00 AM,1335,20,Olympic,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344 0385,56,F,H,101,STREET,NA,,IC,Invest Cont,331,3600 W  3RD                          ST,34.0709,-118.2941,09,2022,2022-09-19
01/03/2023 12:00:00 AM,12/30/2022 12:00:00 AM,1015,20,Olympic,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394 1822 2032,19,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,,IC,Invest Cont,440,4000    COUNTRY CLUB                 DR,34.0543,-118.3193,12,2022,2022-12-30
10/17/2023 12:00:00 AM,10/17/2023 12:00:00 AM,1238,3,Southwest,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 1822 0431,42,M,H,102,SIDEWALK,503,CAUSTIC CHEMICAL/POISON,AA,Adult Arrest,230,41ST,34.0082,-118.3002,10,2023,2023-10-17
